Time,Tweets,All_hashtags,Place
2020-06-25 08:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF......  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-25 05:32:09,"b'Webinar: COVID-19 RCCE approaches, The India Experience  Link to join the webinar: https://t.co/t1SEL1Z9BG Password: 678659 https://t.co/rN6rbCzhxR'",[],
2020-06-25 05:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF.....  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-25 02:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF....  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJXOTB8',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 23:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF...  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJXOTB8',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 20:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF.  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 17:15:00,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF..  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJXOTB8',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 16:49:10,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/55IVJY6usG',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
2020-06-24 15:03:35,b'Do you know what UNICEF is telling us?  By @ShantanuGuhaRay  https://t.co/zB4RkvZIuj  @UNICEFIndia @UNICEF @UN @DrYasminAHaque @MoHFW_INDIA  #Malnutrition #Covid_19 #coronavirus',"['Malnutrition', 'Covid_19', 'coronavirus']",
2020-06-24 14:22:09,b'Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF  #India #Lockdown #Children #Kids #UNICEF #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/jBDe7Gos7P',"['India', 'Lockdown', 'Children', 'Kids', 'UNICEF', 'COVID', 'Coronavirus', 'CoronavirusPandemic', 'Covid_19', 'Pandemic', 'COVID19', 'COVID2019', 'COVIDー19']",
